detik.com,,"Ada dua pulau yang terpisah 3 km tapi punya perbedaan waktu 21 jam. Inilah Yesterday dan Tomorrow Island di utara Bumi yang unik juga memilukan.Sebenarnya, nama asli Yesterday dan Tomorrow Island tersebut adalah Little Diomede Island dan Big Diomede Island. Dua pulau itu merupakan bagian dari Kepulauan Diomede yang berada di utara Bumi. Tepatnya di perbatasan antara Siberia di Rusia dan Alaska di AS, yang ada di tengah-tengah Selat Bering.Dalam informasi yang dirangkum detikTravel dari berbagai sumber, Senin (13/2/2017) Yesterday dan Tomorrow Island pertama kali ditemukan pada penjelajah Rusia, Semyon Dezhnyov di tahun 1400-an. Namun faktanya, orang-orang Eskimo sudah menetap di sana dari 3000 tahun silam!Seiring berjalan waktu, AS membeli Kepulauan Diomede dari Rusia di tahun 1648 saat memetakan negaranya. AS mendapat Little Diomede Island, sedangkan Rusia tetap memiliki Big Diomede Island. Jarak antara Little Diomede Island dan Big Diomede Island hanya terpisah lautan sepanjang 3 kilometer. Menariknya, karena dibatasi oleh International Date Line kedua pulau kecil tersebut memiliki perbedaan waktu 21 jam!Inilah Kepulauan Diomede yang punya dua pulau dan milik dua negara berbeda, AS dan Rusia (Umair Arbi/Facebook)Wilayahnya hampir selalu tertutup es dan salju (Sue Steinacher/BBC)International Date Line adalah suatu garis khayal di permukaan bumi yang berfungsi untuk mengimbangi penambahan waktu ketika seseorang bepergian menuju arah timur melalui berbagai zona waktu. Maka artinya, waktu di Big Diomede Island di Rusia lebih cepat 21 jam dibanding Little Diomede Island di AS.Apakah ada penduduk yang tinggal di sana?Jawabannya ada, situs BBC pun pernah mengulas kehidupan orang-orang di Little Diomede Island dan Big Diomede Island. Penghuninya adalah orang Yupik Eskimo (orang-orang Eskimo yang menempati wilayah Alaska dan sekitarnya) tapi jumlahnya tidak banyak-banyak amat, tak sampai angka 100. Kebanyakan tinggal di Little Diomede Island, sedangkan di Big Diomede Island lebih banyak penjaga pasukan perbatasan dan stasiun cuaca Rusia.Berada di dekat Lingkar Arktik atau Lingkar Kutub Utara, maka cuaca di sana sangat ekstrem dan selalu tertutup salju. Tapi toh, orang-orang Eskimo yang menetap di sana masih dapat hidup dengan baik. Mereka memancing ikan karena lautannya sangat kaya dengan sumber daya alam.Para penduduk di Little Diomede Island yang hidup dengan berburu (Robert Soolook/Facebook)Perumahan di Little Diomede Island (Robert Soolook/Facebook) Foto: undefinedFakta menarik, penduduk di kedua pulaunya sebenarnya adalah saudara. Mereka sama-sama keturunan Eskimo dan begitu mudah berlayar menyebrang antar pulau. Namun sejak Perang Dingin antara AS dan Rusia, keamanan lebih diperketat. Apalagi, ada desas-desus kalau ditemukan sumber minyak bumi yang melimpah di sana.Kami tahu, kami punya saudara di sana. Generasi tua kami sekarat, sekarang tinggal yang muda-muda. Bahasa asli kami telah hilang, semuanya memakai bahasa Inggris sedangkan di sana memakai bahasa Rusia. Ini mengerikan, ini bukan salah kami, keluh Frances Ozenna, pemimpin Eskimo di Little Diomede Island.Anak-anak kecil di Little Diomede Island, di seberang sana adalah tempat tinggal saudara mereka (Robert Soolook/Facebook)Cara menuju ke Little Diomede Island bisa naik pesawat perintis dari Alaska (3otiko/Google Maps)BBC mencatat, 80 orang Eskimo tinggal di Little Diomede Island dan sekitar 20 orang menetap di Big Diomede Island. Sayang beribu sayang, izin yang ketat dan sulit membuat mereka tidak bisa saling mengunjungi. Hanya bisa bertatap-tatapan dari kejauhan dengan teleskop, melihat pulau yang di situlah tempat saudara mereka tinggal.Orang-orang Eskimo di sana juga sebenarnya tidak setuju dengan adanya perbatasan antara Little Diomede Island dan Big Diomede Island. Namun mau bagaimana lagi, mereka tak punya kuasa di tanah mereka sendiri.Kami di sini sudah hidup ribuan tahun. Jauh sebelum Inggris, AS dan Rusia datang, jauh sebelum pemerintah dan peraturan negara ada. Mereka memisahkan kita, memisahkan keluarga kita. Perbatasan ini (antara Little Diomede Island dan Big Diomede Island) sungguh menyakitkan hati, ujar salah seorang penduduk Little Diomede Island, Robert Soolook.Habya bisa melihat saudara dari jauh dengan teleskop (BBC) (aff/aff)",1
detik.com,Pengakuan Ben Stiller Bawa Pengaruh Positif untuk Pemeriksaan Kanker Prostat,"Aktor kawakan Hollywood yang terkenal dengan peran komedinya, Ben Stiller, baru-baru ini menuliskan pengalamannya bergelut dengan kanker prostat. Apa pengaruhnya bagi dunia kesehatan?Stiller melalui laman Medium menuliskan pengalamannya didiagnosis kanker prostat pada tahun 2014, dan sembuh setelah melakukan operasi tiga bulan kemudian. Bukan singkatnya masa pengobatan yang menjadi perbincangan di dunia kesehatan, namun tes Prostate Specific Antigen (PSA) yang ia lakukan.Aku didiagnosis mengidap kanker prostat pada Jumat 13 Juni 2014, dan pada 17 September di tahun yang sama, hasil tes ku mengatakan aku sudah terbebas dari kanker. Tiga bulan sejak aku didiagnosis hingga mendapat kabar sembuh terasa seperti roller coaster gila, pengalaman yang juga dirasakan oleh 180.000 pria lainnya di Amerika, tulis aktor pemeran film Night at The Museum itu di laman Medium, baru-baru ini.Baca juga: Anggapan Vasektomi Dituding Picu Kanker Prostat Terbukti Tidak BenarAku termasuk orang yang sangat beruntung karena penyakit kankerku berhasil ditemukan sejak awal. Aku beruntung karena dokter internisku melakukan tes PSA yang menurut beberapa panduan tidak perlu ia lakukan, ungkapnya lagi.Ia mengatakan kontroversi terkait tes PSA sudah dibicarakan sejak beberapa tahun belakangan. Stiller menyebut beberapa lembaga seperti American Cancer Society dan US Preventive Services Task Force (USPSTF) tidak merekomendasikan tes PSA karena banyaknya kasus positif palsu yang terdeteksi.Ditambahkan Stiller, ia melakukan tes PSA setiap 6 bulan sekali selama 1,5 tahun sebelum didiagnosis mengidap kanker. Hasil tesnya menunjukkan peningkatan indeks antigen yang berujung pada pemeriksaan MRI dan biopsi.Tes PSA menyelamatkan hidupku. Jika dokterku tak melakukannya, mungkin aku tidak mengetahui aku mengidap kanker prostat hingga sudah terlambat, tambah aktor berusia 46 tahun ini.Terakhir, Stiller menganjurkan agar para pria yang sudah berusia 40 tahun melakukan skrining kanker prostat. Ia juga meminta USPSTF untuk mengubah panduan mereka terkait tes PSA dan meminta dokter untuk lebih aktif menganjurkan skrining pada pasien. Pengakuan Ben Stiller Bawa Pengaruh Positif untuk Pemeriksaan Kanker Prostat Aku tidak berada dalam kelompok risiko tinggi terserang kanker prostat, keluargaku tidak memiliki riwayat penyakit ini dan aku tidak mengalami gejala apapun. Sekali lagi, aku hanya menceritakan pengalaman pribadi, bukan tulisan ilmiah, namun aku beruntung dokterku memiliki kebijakan untuk melakukan tes PSA, urai aktor yang juga sukses membintangi film Zoolander ini.Baca juga: Hal yang Dipercaya Bisa Mengurangi Risiko Terserang Kanker ProstatPlus-Minus Tes PSAAnthony Lowe, Chief Executive Officer untuk The Prostate Cancer Foundation of Australia (PCFA) menyebut salah satu alasan mengapa tes PSA tidak dijadikan standar utama pemeriksaan kanker prostat adalah kecenderungan tes untuk menghasilkan kasus positif palsu. Dalam artian, pasien sebenarnya tidak mengalami kanker prostat namun tetap dilakukan pengobatan yang bisa saja tidak bermanfaat sama sekali.Hal ini menyebabkan banyak pasien menuntut balik dokter karena memberikan pengobatan yang tidak dibutuhkan. Tidak konsistennya hasil inilah yang membuat para dokter urologi akhirnya tidak menggunakan tes PSA sebagai acuan utama.Meski begitu, ia memberiakan apresiasi pada Stiller yang mau mengakui mengidap kanker prostat. Pengakuan Stiller memiliki pengaruh positif bagi deteksi dini penyakit yang rentan menyerang pria dewasa ini.Perdebatan soal kekurangan maupun manfaat tes PSA masih berlanjut. Tetapi ribuan pria masih melakukan tes ini tiap 6 bulan karena memang tes inilah yang bisa menentukan adanya biomarker kanker prostat, tutur Lowe, dikutip dari ABC Australia.Cancer Council Australia dalam panduannya memang sudah menyarankan pria untuk melakukan tes PSA jika sudah berusia di atas 50 tahun. Meski begitu, pria yang sudah berusia di atas 40 tahun boleh melakukannya dengan petunjuk dokter.Namun harus diingat, tes PSA tidak menentukan seseorang memiliki kanker prostat atau tidak. Yang dilakukan tes PSA hanyalah menemukan adanya tumor dalam prostat yang belum tentu juga merupakan kanker.Harus diperhatikan tes PSA bisa mengeluarkan kasus positif palsu maupun negatif palsu. Konsultasi dengan dokter ahli urologi sangat disarankan setelah melakukan tes PSA untuk menentukan langkah selanjutnya, demikian tulis CCA.Baca juga: Frekuensi Bercinta Bisa Tingkatkan Risiko Kanker Prostat? Ini Kata Dokter(mrs/vit)",1
gemarakyat.id,"Bingung dengan Konsep Ketuhanan Yesus, Perempuan Nasrani Ini Akhirnya Masuk Islam","Alhamdulillah,Baru saja selesai bersyahadat Ayunda Intan Ariani (mantan nasrani) bersama bersama team Mualaf Center Darussalam, syahadat dibimbing Ustadz Deden Masykur Farid disaksikan pembina mualaf akhwat Lisze Dewi Purnamawati dan team di Masjid Darussalam Kota WisataHidayah Allah berawal dari pernyataan Paus Fransiskus,Yesus bukan tuhan, Yesus adalah guru dan pemimpin saya. Tetapi Tuhan, Bapa, adalah cahaya dan Sang Pencipta. Itulah yang saya yakini pernyataan ini yang menyadarkannya bahwa Yesus bukan tuhan Dalam wawancara dengan harian terbitan Italia, La Repubblica.Kemudian Ayunda semakin mempelajari bible dan Alquran, sampai akhirnya merenungkan kalamullah dalam Alquran Dan mereka berkata: Tuhan Yang Maha Pemurah mengambil (mempunyai) anak. Sesungguhnya kamu telah mendatangkan sesuatu perkara yang sangat mungkar, hampir-hampir langit pecah karena ucapan itu, dan bumi belah, dan gunung-gunung runtuh, karena mereka mendakwakan Allah Yang Maha Pemurah mempunyai anak. Dan tidak layak bagi Tuhan Yang Maha Pemurah mengambil (mempunyai) anak. (QS. Maryam 88 92) Tidak ada seorangpun di langit dan di bumi, kecuali akan datang kepada Tuhan Yang Maha Pemurah selaku seorang hamba. (QS. Maryam 93)Kita doakan semua mualaf dijaga Allah senantiasa istiqomah dan kaffah..Segala puji hanya bagi Allah pemilik segala kebenaran, hidayah dan taufiq. Semoga bermanfaat dan menjadi asbab hidayah bagi lainnya.Sekiranya ada yang ingin berkonsultasi dan bersyahadat, saat ini kami sedang itiqaf di Masjid Daarut Tauhiid Bandung silakan bertemu kami.. Hanny Kristianto (Bukan Ustadz)",0
liputan6.com,Polri Diminta Segera Tangkap Otak Penyiram Novel Baswedan,"Anggota Komisi III DPR Ahmad Sahroni yakin jika Polri dibantu Badan Intelijen Negara (BIN) dapat segera menangkap penyiram air keras terhadap penyidik Komisi Pemberantasan Korupsi (KPK) Novel Baswedan. Keyakinan ini disampaikan Sahroni mengingat kemampuan Polri yang sudah teruji dalam mengungkap pelbagai kasus besar. Bahkan dalam hal pemberantasan terorisme. Baca Juga Wakapolda Metro: Kita Sudah Berkali-kali Ingatkan Novel Baswedan KPK Bantu Polri Usut Teror Novel Baswedan ICW Duga Serangan Air Keras ke Novel Baswedan Terkait Kasus e-KTP Urusan teroris Polri ahlinya. Maka urusan Novel Baswedan saya yakin Kapolri bisa tangkap pelakunya dengan cepat, kata Sahroni di Gedung DPR, Senayan, Selasa (11/4/2017). Anggota Fraksi Partai Nasdem ini menekankan, kasus ini harus cepat terungkap. Karena sangat rentan dengan kemungkinan keterkaitan atas kasus yang ditangani Novel di KPK. Ia menambahkan, Novel adalah salah satu penyidik andalan KPK untuk penanganan kasus-kasus besar. Bahkan Sahroni mengungkapkan koordinasi Polri dengan BIN harus dilakukan, bila dianggap perlu dalam pengungkapan kasus ini. Saya Sebagai Anggota Komisi III meminta Kapolri dan Kepala BIN untuk menangkap pelaku penyerangan kepada penyidik KPK Novel Baswedan. Novel sedang menyelidiki kasus-kasus besar. Maka Kapolri dan BIN harus tangkap pelaku intelektualnya dengan segera agar kasus ini terang benderang, papar Sahroni. Sebelumnya penyidik KPK Novel Baswedan disiram air keras oleh orang tak dikenal saat ia kembali ke rumah usai salat subuh di masjid. Novel kini tengah menjalani perawatan di RS Mitra Keluarga Kelaga Gading, Jakarta Utara. Polisi pun kini tengah mengusut dan menyelidiki kasus penyiraman air keras terhadap Novel Baswedan tersebut.",1
detik.com,Anindya Novyan Bakrie Dilantik Jadi Ketum PRSI,"Anindya Novyan Bakrie dilantik menjadi Ketua Umum Persatuan Renang Seluruh Indonesia (PRSI) periode 2016-2020, Rabu (11/1). Anindya menggantikan Sandiaga Uno.",1
intelijen.co.id,Jawaban Dr Zakir Naik Patahkan Tudingan Boni Hargens yang Sebut tak Paham Konteks Al Maidah 51,"Apakah saudari percaya kepada Al-Quran? tanya Zakir Naik.Nampak saudari Sofie ragu untuk menjawab pertanyaan Dr Zakir Naik tersebut.Jika saudari tidak percaya dengan kebenaran Al-Quran maka perintah tersebut (memilih pemimpin muslim seperti di al-Maidah 51) BUKAN untuk Anda. Dan Anda bertanya tentang sesuatu yang jawabannya tak akan pernah anda yakini, ujar Zakir Naik.Dr Zakir Naik kemudian menyatakan:Dan saya tahu di Indonesia banyak orang mempunyai nama Islam di KTP namun berkelakuan tidak islami. Perintah di Surat Al-Maidah 51 ditujukan kepada Umat Muslim yang betul-betul berkelakuan islam (bukan munafik).Jadi sebaik apapun orang tersebut untuk dijadikan pemimpin, Jika tidak sesuai dengan perintah Al-Quran, Maka kita sebagai seorang muslim yang taat, akan meninggalkannya, tegas Zakir Naik.Jawaban TELAK dan JELAS Dr Zakir Naik ini menggambarkan dengan gamblang bahwa sebagai seorang muslim, Dr Zakir Naik sangat memahami Islam dan Boni Hargens, sosok yang pernah berseteru dengan Ruhut Sitompul, hanyalah memanfaatkan popularitas Dr Zakir Naik untuk mencetuskan pendapat ngawurnya mengenai ulama dan agama Islam.(Portal Islam)Pages: 1 2 3Dituduh Wahabi dan Dibenci Ahoker, Zakir Naik Malah Panen 3 Pujian dari KH Maruf AminKata Hipokrit dari Zakir Naik Pas dengan Tipikal Ahok, Tak hanya Munafik tapi Juga Suka Berpura-puraAhli Agama Kubu Ahok Sebut Bodoh Orang Yang Melaksanakan AlquranLIPI: Fakta, Isu Al Maidah 51 Dimunculkan Kubu PejawatPakar Hukum Bilang Sifat Jahat Ahok Tampak Saat Singgung Al Maidah 51*",0
gemarakyat.id,"Aksi 313, Polda Metro Minta Dibatalkan","Aparat Polda Metro Jaya meminta aksi 313 bertajuk Al Maidah 51 Memanggil Anda tak digelar. Aparat tidak ingin sisa waktu jelang pemungutan suara di Pilkada DKI ini diisi dengan kegiatan keramaian yang menganggu masyarakat.Kegiatan politik di Jakarta ini biarlah berjalan sendiri tak usah ditambahi dengan kegiatan yang memperkeruh suasana, kata Kabid Humas Polda Metro Jaya, Kombes Argo Yuwono, seperti mengutip Jawa Pos, Selasa (28/3/2017).Menjelang Pilkada, Argo mengimbau masyarakat memelihara iklim demokrasi damai. Biar Pilkada berjalan sesuai aturan yang ada, harapnya.Hingga saat ini, lanjut Argo, pihaknya belum menerima surat izin dari penyelenggara acara. Padahal aksi akan dilakukan dalam waktu beberapa hari lagi.Nanti kalau sudah menerima, akan diteliti dulu seperti apa, tuturnya.Sekadar informasi, di beberapa sosial media muncul selebaran ajakan bagi umat Islam untuk ikut mengadakan aksi 313 yang digelar pada 31 Maret 2017. Agenda akan diawali dengan melakukan salat Jumat di Masjid Istiqlal kemudian dilanjutkan dengan aksi unjuk rasa di depan Istana Merdeka.Dalam poster yang beredar, aksi bertujuan untuk menuntut pencopotan Basuki Tjahaja Purnama (Ahok) sebagai Gubernur DKI Jakarta. Aksi ini digagas oleh Forum Umat Islam (FUI) dan beberapa alumni aksi Bela Islam 212.",0
gemarakyat.id,"Apes! Teriak Hidup Ahok Sambil Mabuk, Pria Ini Nyaris Babak Belur Diamuk Tetangganya","Aparat Polsek Tambora, Jakarta Barat, mengamankan seorang warga bernama Iwan (44) yang nyaris babak belur diamuk tetangganya lantaran berteriak-teriak dalam keadaan mabuk. Iwan diduga pendukung salah satu calon di Pilgub DKI Jakarta.Kapolsek Tambora, Kompol M Syafii mengatakan, pengkeroyokan terjadi pada Senin 14 Maret 2017 sekira pukul 23.45 WIB. Mulanya, Iwan nongkrong bersama temannya sambil minum minuman beralkohol.Setelah teler, ia pulang sambil berteriak Hidup Ahok sehingga membuat tetangganya Nena Zaenab kaget.Sekitar jam 22.00 WIB minum Vokal bersama saksi Kabor dan si Gleng. Saat melintas di depan rumah Ibu Nena Zaenab, korban teriak Hidup Ahok dengan suara yang kencang sehingga membuat ibu Zaenab kaget, kata Syafii saat dikonfirmasi, Selasa (14/3/2017).Spontan saja Zaenab memarahi Iwan. Namun, bukannya minta maaf, malah ia balik melawan kata-kata Zaenab.Tidak terima ibunya dicaci maki, sontak anak Zaenab, berinisial IT mengejar Iwan serta memukulinya dan dibantu kedua temannya yakni RP dan An yang kebetulan berada di lokasi. Beruntung, aksi pengkeroyokan itu dilerai warga sebelum korban babak belur.Namun para pelaku masih belum puas dan selanjutnya mencari korban, pada pukul 23.15 WIB para pelaku menemukan korban di RT 9/11 dan memukuli kembali hingga korban luka, lanjut Syafii.Melihat kejadian tersebut, warga kembali melerainya. Sementara Ketua RT 9, Yanto Herwanto, melaporkan ke Polsek Tambora dan langsung ditangani oleh petugas. Iwan dibawa ke Rumah Sakit Tarakan untuk dirawat.Seorang pelaku yakni RP sudah ditangkap polisi, sementara dua lainnya sedang dicari.",0
detik.com,Intip Jessica Iskandar Nyoblos,"Artis cantik Jessica Iskandar ikut meramaikan Pilkada DKI Jakarta 2017. Ia mencoblos di kawasan Kuningan, Rabu (15/2).",1
detik.com,"Gagal Nyoblos di Pilgub DKI, Jupe Sedih",Artis Julia Perez bersedih karena tak bisa memberikan suaranya di Pilkada DKI Jakarta 2017. Alasannya karena tak memiliki formulir A5 untuk mencoblos di RSCM.,1
